,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweet URL,Tweets Ago
0,-0.6369,Sat Apr 28 20:01:07 +0000 2018,0.25,0.652,0.098,"A crisis of plastic waste in Indonesia has become so acute that the army has been called in to help.
👉… https://t.co/Qt2S1UlKNf",http://t.co/9Yv7DJ1Pmu,1
1,0.765,Sat Apr 28 19:06:03 +0000 2018,0.0,0.68,0.32,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,http://t.co/9Yv7DJ1Pmu,2
2,0.0,Sat Apr 28 18:01:06 +0000 2018,0.0,1.0,0.0,"The UK's obesity rates have more than trebled in the past 30 years. 
#BritainsFatFight https://t.co/xE8qL5t1yE",http://t.co/9Yv7DJ1Pmu,3
3,0.5994,Sat Apr 28 17:02:00 +0000 2018,0.0,0.786,0.214,🤖📸 @TWBBC have created a chatbot that can predict how influential your Instagram pictures will be before you post t… https://t.co/lvLPMQ8iyz,http://t.co/9Yv7DJ1Pmu,4
4,0.0,Sat Apr 28 16:29:48 +0000 2018,0.0,1.0,0.0,RT @BBCOne: It turns out Tamsin Greig has had some... sickly... experiences during her time on stage 🤢 #TheGNShow https://t.co/SOfsgk4bre,http://t.co/9Yv7DJ1Pmu,5
5,0.0,Sat Apr 28 16:03:03 +0000 2018,0.0,1.0,0.0,"⚖ BMI and obesity: Where are you on the UK fat scale? 

Try this calculator and see how you compare.
👉… https://t.co/dHecwNK6uG",http://t.co/9Yv7DJ1Pmu,6
6,-0.7906,Sat Apr 28 15:00:23 +0000 2018,0.389,0.611,0.0,Palm oil can destroy the habitats of orangutans - and poison your dog. https://t.co/8Pu4OmKRxh,http://t.co/9Yv7DJ1Pmu,7
7,0.0,Sat Apr 28 14:10:02 +0000 2018,0.0,1.0,0.0,"🌈👀 Depending on what language you speak, your eye perceives colours – and the world – differently from someone else… https://t.co/bjyH9RnpP6",http://t.co/9Yv7DJ1Pmu,8
8,0.0,Sat Apr 28 13:00:23 +0000 2018,0.0,1.0,0.0,"⛷🦅 A test of speed and agility.
#SuperFastFalcon https://t.co/kywvTfrLMw",http://t.co/9Yv7DJ1Pmu,9
9,0.3612,Sat Apr 28 12:00:21 +0000 2018,0.0,0.872,0.128,"😕 People are getting surgery to look like their Snapchat selfies...

It’s called ‘Snapchat dysmorphia’ - and it’s o… https://t.co/skDno7F9a1",http://t.co/9Yv7DJ1Pmu,10
10,0.0,Sat Apr 28 11:08:45 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: Every, single, week 🤦‍♀️ https://t.co/d15I1CG9Iy",http://t.co/9Yv7DJ1Pmu,11
11,-0.2023,Sat Apr 28 11:00:17 +0000 2018,0.239,0.58,0.181,This cafe in Greater Manchester only employs former prisoners. https://t.co/7uQhzzVCYm,http://t.co/9Yv7DJ1Pmu,12
12,-0.4003,Sat Apr 28 10:32:00 +0000 2018,0.172,0.828,0.0,"🎤🎶Absolutely on fire! 🔥

The incredible @JessieJ performs a #GigInAMinute for #SoundsLikeFridayNight 

Watch it in… https://t.co/KAbgQz62te",http://t.co/9Yv7DJ1Pmu,13
13,0.0,Sat Apr 28 10:07:26 +0000 2018,0.0,1.0,0.0,RT @bbcideas: 🥚 Why nursery rhymes aren't always what they seem 🥚https://t.co/UfZnW0AUFG https://t.co/XCQCQBLTPS,http://t.co/9Yv7DJ1Pmu,14
14,0.1779,Sat Apr 28 10:00:12 +0000 2018,0.1,0.775,0.125,"Take the politics out of it. By the numbers, what would we gain – and lose – if all firearms suddenly were wiped of… https://t.co/byYeF15IeS",http://t.co/9Yv7DJ1Pmu,15
15,-0.0258,Sat Apr 28 09:00:19 +0000 2018,0.185,0.573,0.242,🦈 Australian lifeguards are now using drones to help prevent shark attacks. https://t.co/HDvy0MSlVo,http://t.co/9Yv7DJ1Pmu,16
16,0.0,Sat Apr 28 08:00:10 +0000 2018,0.0,1.0,0.0,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS",http://t.co/9Yv7DJ1Pmu,17
17,-0.5267,Fri Apr 27 18:24:05 +0000 2018,0.175,0.825,0.0,"Record levels of microplastics have been found trapped inside sea ice floating in the Arctic.
👉… https://t.co/TnDMONKhYD",http://t.co/9Yv7DJ1Pmu,18
18,0.296,Fri Apr 27 17:23:00 +0000 2018,0.0,0.885,0.115,"👏🎶Who will join saxophonist Robert Burton in the 2018 @BBCYoungMus semi-final? 

Watch the brass category final ton… https://t.co/SQwHSnaYmp",http://t.co/9Yv7DJ1Pmu,19
19,0.0,Fri Apr 27 16:01:06 +0000 2018,0.0,1.0,0.0,"🙌🎶 @George_Ezra. @AnneMarie. @NiallOfficial. @CHVRCHES. @Migos.

Tonight's #SoundsLikeFridayNight is going to be HU… https://t.co/13yecJuHFk",http://t.co/9Yv7DJ1Pmu,20
20,-0.7783,Fri Apr 27 15:01:05 +0000 2018,0.343,0.657,0.0,"💔🐴 Horses are regularly being 'fly-tipped' and left to die by irresponsible owners.
👉 https://t.co/pTjgWOddaz https://t.co/63k7pzfKmw",http://t.co/9Yv7DJ1Pmu,21
21,0.0,Fri Apr 27 13:00:19 +0000 2018,0.0,1.0,0.0,"🍔 Can lab-grown veggie alternatives wean us off our addiction to red meat?
👉https://t.co/1ZltVcmg1A https://t.co/XuB6LrEeZH",http://t.co/9Yv7DJ1Pmu,22
22,0.4199,Fri Apr 27 12:46:17 +0000 2018,0.0,0.878,0.122,RT @bbcpress: Thank you for the (new) music ABBA! We’ll bring you more info on this announcement in due course… https://t.co/t95MJu68Oa,http://t.co/9Yv7DJ1Pmu,23
23,0.0,Fri Apr 27 12:01:07 +0000 2018,0.0,1.0,0.0,"🍻🐶 How am I supposed to concentrate on what Stevie's saying when there's a dog over there?
https://t.co/Fu9LaC6WxG",http://t.co/9Yv7DJ1Pmu,24
24,0.0,Fri Apr 27 11:56:10 +0000 2018,0.0,1.0,0.0,RT @BBCNewsEnts: Big news for Abba fans - they've recorded two new songs https://t.co/8AbjhzEbeE,http://t.co/9Yv7DJ1Pmu,25
25,0.0,Fri Apr 27 11:00:23 +0000 2018,0.0,1.0,0.0,"Fancy a Cuddle-Me-Buff whilst I razzle this sausage?

These seven old English words deserve to make a comeback.
👉… https://t.co/7dPSsPsBKW",http://t.co/9Yv7DJ1Pmu,26
26,-0.3595,Fri Apr 27 10:44:50 +0000 2018,0.106,0.894,0.0,"RT @CBeebiesHQ: No detective work needed for this story… 🕵️

Elton John is going to be reading our #BedtimeStory very soon! 📚

@eltonoffici…",http://t.co/9Yv7DJ1Pmu,27
27,0.0,Fri Apr 27 10:09:31 +0000 2018,0.0,1.0,0.0,"💕 Louis Arthur Charles 💕

The Duke and Duchess of Cambridge reveal the name of their new prince.
👉… https://t.co/EXKxBTaqam",http://t.co/9Yv7DJ1Pmu,28
28,0.0,Fri Apr 27 08:48:14 +0000 2018,0.0,1.0,0.0,"😱😱😱 South Korean boy band @BTS_twt have announced a mammoth world tour which includes two UK dates!!! #BTS
👉… https://t.co/X6zgjEttlo",http://t.co/9Yv7DJ1Pmu,29
29,0.4019,Fri Apr 27 08:00:18 +0000 2018,0.0,0.748,0.252,Do you know how to help a 🐝 in need? https://t.co/FDtmxUkzGS,http://t.co/9Yv7DJ1Pmu,30
30,0.4767,Fri Apr 27 07:30:15 +0000 2018,0.0,0.795,0.205,"📸🍎 See the colourful winners of this year's Pink Lady @FoodPhotoAward.
👉 https://t.co/hLSxgDDeAQ https://t.co/M7AJIhLtVY",http://t.co/9Yv7DJ1Pmu,31
31,-0.3612,Fri Apr 27 07:00:24 +0000 2018,0.128,0.872,0.0,"Tom’s autism means he struggles to identify his own emotions and respond to others’. 

Could a new heartbeat-based… https://t.co/w2CjrJ9P5T",http://t.co/9Yv7DJ1Pmu,32
32,-0.4588,Thu Apr 26 20:05:00 +0000 2018,0.143,0.857,0.0,The heartbreaking story of the artist who gave the children of this concentration camp art lessons. Their beautiful… https://t.co/gMFqgqgtvg,http://t.co/9Yv7DJ1Pmu,33
33,-0.1761,Thu Apr 26 19:03:04 +0000 2018,0.082,0.918,0.0,"Take a detailed look at ambulance services, from the highly pressurised control rooms to the crews on the street. 🚑… https://t.co/ACZOCRjbgS",http://t.co/9Yv7DJ1Pmu,34
34,0.7506,Thu Apr 26 18:33:03 +0000 2018,0.0,0.738,0.262,"Follow a young family of falcons as they grow up in downtown Chicago. 🦅

Natural World: Super Fast Falcon | 8pm |… https://t.co/fDzkfaxMNM",http://t.co/9Yv7DJ1Pmu,35
35,0.3612,Thu Apr 26 18:01:09 +0000 2018,0.0,0.815,0.185,"😯 This woman from the 1920s looks EXACTLY like Benedict Cumberbatch.  
#TheGNShow https://t.co/ZkdgiM7ZVg",http://t.co/9Yv7DJ1Pmu,36
36,0.0,Thu Apr 26 16:08:02 +0000 2018,0.0,1.0,0.0,"RT @cbbc: If you can't wait to see @iamradzi on this week's ep of #BluePeter, turn him into an alien on the CBBC Buzz app! 📲🖍️➡️ https://t.…",http://t.co/9Yv7DJ1Pmu,37
